,Country,Year,Age,Employment Gap in %,Employed Persons in Thousands,IndexValueEmployment
0,Austria,2009,Y15-24,0.06,525,0.94
1,Austria,2010,Y15-24,0.08,519,0.92
2,Austria,2011,Y15-24,0.08,528,0.92
3,Austria,2012,Y15-24,0.07,527,0.9299999999999999
4,Austria,2013,Y15-24,0.06,521,0.94
5,Austria,2014,Y15-24,0.04,508,0.96
6,Austria,2015,Y15-24,0.05,500,0.95
7,Austria,2016,Y15-24,0.04,501,0.96
8,Austria,2017,Y15-24,0.03,484,0.97
9,Austria,2018,Y15-24,0.05,481,0.95
10,Austria,2019,Y15-24,0.07,473,0.9299999999999999
11,Austria,2020,Y15-24,0.05,450,0.95
12,Austria,2021,Y15-24,0.09,449,0.91
13,Belgium,2009,Y15-24,0.04,331,0.96
14,Belgium,2010,Y15-24,0.04,332,0.96
15,Belgium,2011,Y15-24,0.04,344,0.96
16,Belgium,2012,Y15-24,0.05,335,0.95
17,Belgium,2013,Y15-24,0.03,313,0.97
18,Belgium,2014,Y15-24,0.02,306,0.98
19,Belgium,2015,Y15-24,0.03,308,0.97
20,Belgium,2016,Y15-24,0.03,297,0.97
21,Belgium,2017,Y15-24,0.03,293,0.97
22,Belgium,2018,Y15-24,0.02,322,0.98
23,Belgium,2019,Y15-24,0.01,343,0.99
24,Belgium,2020,Y15-24,0.03,310,0.97
25,Belgium,2021,Y15-24,0.02,324,0.98
26,Bulgaria,2009,Y15-24,0.1,223,0.9
27,Bulgaria,2010,Y15-24,0.09,204,0.91
28,Bulgaria,2011,Y15-24,0.09,177,0.91
29,Bulgaria,2012,Y15-24,0.09,166,0.91
30,Bulgaria,2013,Y15-24,0.08,153,0.92
31,Bulgaria,2014,Y15-24,0.09,142,0.91
32,Bulgaria,2015,Y15-24,0.1,134,0.9
33,Bulgaria,2016,Y15-24,0.09,124,0.91
34,Bulgaria,2017,Y15-24,0.1,139,0.9
35,Bulgaria,2018,Y15-24,0.1,122,0.9
36,Bulgaria,2019,Y15-24,0.09,125,0.91
37,Bulgaria,2020,Y15-24,0.08,107,0.92
38,Bulgaria,2021,Y15-24,0.07,104,0.9299999999999999
39,Cyprus,2009,Y15-24,0.03,35,0.97
40,Cyprus,2010,Y15-24,0.01,35,0.99
41,Cyprus,2011,Y15-24,0.03,31,0.97
42,Cyprus,2012,Y15-24,0.04,30,0.96
43,Cyprus,2013,Y15-24,0.01,25,0.99
44,Cyprus,2014,Y15-24,0.0,27,1.0
45,Cyprus,2015,Y15-24,-0.03,25,1.03
46,Cyprus,2016,Y15-24,0.0,25,1.0
47,Cyprus,2017,Y15-24,-0.07,27,1.07
48,Cyprus,2018,Y15-24,-0.08,30,1.08
49,Cyprus,2019,Y15-24,-0.04,30,1.04
50,Cyprus,2020,Y15-24,-0.02,29,1.02
51,Cyprus,2021,Y15-24,0.03,32,0.97
52,Czech Republic,2009,Y15-24,0.09,353,0.91
53,Czech Republic,2010,Y15-24,0.09,327,0.91
54,Czech Republic,2011,Y15-24,0.09,303,0.91
55,Czech Republic,2012,Y15-24,0.08,301,0.92
56,Czech Republic,2013,Y15-24,0.09,294,0.91
57,Czech Republic,2014,Y15-24,0.1,300,0.9
58,Czech Republic,2015,Y15-24,0.1,303,0.9
59,Czech Republic,2016,Y15-24,0.11,295,0.89
60,Czech Republic,2017,Y15-24,0.1,291,0.9
61,Czech Republic,2018,Y15-24,0.08,277,0.92
62,Czech Republic,2019,Y15-24,0.08,270,0.92
63,Czech Republic,2020,Y15-24,0.1,242,0.9
64,Czech Republic,2021,Y15-24,0.09,242,0.91
65,Germany,2009,Y15-24,0.03,4187,0.97
66,Germany,2010,Y15-24,0.03,3996,0.97
67,Germany,2011,Y15-24,0.03,4118,0.97
68,Germany,2012,Y15-24,0.04,3976,0.96
69,Germany,2013,Y15-24,0.03,3948,0.97
70,Germany,2014,Y15-24,0.03,3848,0.97
71,Germany,2015,Y15-24,0.03,3748,0.97
72,Germany,2016,Y15-24,0.02,3839,0.98
73,Germany,2017,Y15-24,0.02,3897,0.98
74,Germany,2018,Y15-24,0.03,3926,0.97
75,Germany,2019,Y15-24,0.04,4023,0.96
76,Germany,2020,Y15-24,0.04,3979,0.96
77,Germany,2021,Y15-24,0.05,4030,0.95
78,Denmark,2009,Y15-24,-0.01,386,1.01
79,Denmark,2010,Y15-24,-0.04,364,1.04
80,Denmark,2011,Y15-24,-0.02,365,1.02
81,Denmark,2012,Y15-24,-0.01,359,1.01
82,Denmark,2013,Y15-24,-0.03,352,1.03
83,Denmark,2014,Y15-24,-0.02,358,1.02
84,Denmark,2015,Y15-24,-0.02,371,1.02
85,Denmark,2016,Y15-24,-0.05,381,1.05
86,Denmark,2017,Y15-24,-0.02,386,1.02
87,Denmark,2018,Y15-24,-0.03,390,1.03
88,Denmark,2019,Y15-24,-0.02,396,1.02
89,Denmark,2020,Y15-24,-0.02,379,1.02
90,Denmark,2021,Y15-24,0.01,379,0.99
91,Estonia,2009,Y15-24,0.03,53,0.97
92,Estonia,2010,Y15-24,0.01,46,0.99
93,Estonia,2011,Y15-24,0.04,53,0.96
94,Estonia,2012,Y15-24,0.03,53,0.97
95,Estonia,2013,Y15-24,0.03,50,0.97
96,Estonia,2014,Y15-24,-0.01,48,1.01
97,Estonia,2015,Y15-24,0.04,47,0.96
98,Estonia,2016,Y15-24,-0.01,48,1.01
99,Estonia,2017,Y15-24,0.0,49,1.0
100,Estonia,2018,Y15-24,0.01,50,0.99
101,Estonia,2019,Y15-24,0.01,47,0.99
102,Estonia,2020,Y15-24,0.01,42,0.99
103,Estonia,2021,Y15-24,-0.01,41,1.01
104,Greece,2009,Y15-24,0.1,282,0.9
105,Greece,2010,Y15-24,0.09,240,0.91
106,Greece,2011,Y15-24,0.07,187,0.9299999999999999
107,Greece,2012,Y15-24,0.06,147,0.94
108,Greece,2013,Y15-24,0.06,132,0.94
109,Greece,2014,Y15-24,0.05,148,0.95
110,Greece,2015,Y15-24,0.05,144,0.95
111,Greece,2016,Y15-24,0.04,140,0.96
112,Greece,2017,Y15-24,0.03,152,0.97
113,Greece,2018,Y15-24,0.05,149,0.95
114,Greece,2019,Y15-24,0.04,154,0.96
115,Greece,2020,Y15-24,0.04,135,0.96
116,Greece,2021,Y15-24,0.05,140,0.95
117,Spain,2009,Y15-24,0.02,1397,0.98
118,Spain,2010,Y15-24,0.02,1210,0.98
119,Spain,2011,Y15-24,0.0,1042,1.0
120,Spain,2012,Y15-24,0.0,853,1.0
121,Spain,2013,Y15-24,0.01,763,0.99
122,Spain,2014,Y15-24,0.01,749,0.99
123,Spain,2015,Y15-24,0.02,803,0.98
124,Spain,2016,Y15-24,0.02,820,0.98
125,Spain,2017,Y15-24,0.01,921,0.99
126,Spain,2018,Y15-24,0.03,989,0.97
127,Spain,2019,Y15-24,0.04,1039,0.96
128,Spain,2020,Y15-24,0.03,884,0.97
129,Spain,2021,Y15-24,0.03,995,0.97
143,Finland,2009,Y15-24,-0.02,250,1.02
144,Finland,2010,Y15-24,0.0,245,1.0
145,Finland,2011,Y15-24,0.0,254,1.0
146,Finland,2012,Y15-24,0.0,264,1.0
147,Finland,2013,Y15-24,-0.03,261,1.03
148,Finland,2014,Y15-24,-0.03,261,1.03
149,Finland,2015,Y15-24,-0.04,249,1.04
150,Finland,2016,Y15-24,-0.03,256,1.03
151,Finland,2017,Y15-24,-0.01,260,1.01
152,Finland,2018,Y15-24,-0.03,262,1.03
153,Finland,2019,Y15-24,0.0,263,1.0
154,Finland,2020,Y15-24,0.0,241,1.0
155,Finland,2021,Y15-24,0.0,259,1.0
156,France,2009,Y15-24,0.05,2300,0.95
157,France,2010,Y15-24,0.08,2262,0.92
158,France,2011,Y15-24,0.07,2206,0.9299999999999999
159,France,2012,Y15-24,0.07,2114,0.9299999999999999
160,France,2013,Y15-24,0.07,2094,0.9299999999999999
161,France,2014,Y15-24,0.06,2071,0.94
162,France,2015,Y15-24,0.05,2098,0.95
163,France,2016,Y15-24,0.05,2100,0.95
164,France,2017,Y15-24,0.06,2166,0.94
165,France,2018,Y15-24,0.06,2259,0.94
166,France,2019,Y15-24,0.05,2265,0.95
167,France,2020,Y15-24,0.06,2192,0.94
168,France,2021,Y15-24,0.03,2465,0.97
169,Croatia,2009,Y15-24,0.1,140,0.9
170,Croatia,2010,Y15-24,0.08,123,0.92
171,Croatia,2011,Y15-24,0.07,104,0.9299999999999999
172,Croatia,2012,Y15-24,0.05,87,0.95
173,Croatia,2013,Y15-24,0.05,74,0.95
174,Croatia,2014,Y15-24,0.06,90,0.94
175,Croatia,2015,Y15-24,0.06,92,0.94
176,Croatia,2016,Y15-24,0.07,121,0.9299999999999999
