,Country,Year,Female parliament members in %,IndexValueDecisionMakers
41665,Austria,2007,0.31,0.62
41668,Austria,2008,0.31,0.62
41672,Austria,2009,0.28,0.56
41676,Austria,2010,0.29,0.58
41680,Austria,2011,0.29,0.58
41684,Austria,2012,0.29,0.58
41688,Austria,2013,0.29,0.58
41692,Austria,2014,0.32,0.64
41696,Austria,2015,0.3,0.6
41700,Austria,2016,0.31,0.62
41704,Austria,2017,0.31,0.62
41708,Austria,2018,0.36,0.72
41712,Austria,2019,0.38,0.76
41716,Austria,2020,0.4,0.8
41720,Austria,2021,0.41,0.82
41724,Austria,2022,0.41,0.82
43300,Belgium,2007,0.37,0.74
43303,Belgium,2008,0.36,0.72
43307,Belgium,2009,0.39,0.78
43311,Belgium,2010,0.39,0.78
43315,Belgium,2011,0.39,0.78
43319,Belgium,2012,0.4,0.8
43323,Belgium,2013,0.4,0.8
43327,Belgium,2014,0.4,0.8
43331,Belgium,2015,0.42,0.84
43335,Belgium,2016,0.41,0.82
43339,Belgium,2017,0.42,0.84
43343,Belgium,2018,0.4,0.8
43347,Belgium,2019,0.4,0.8
43351,Belgium,2020,0.42,0.84
43355,Belgium,2021,0.44,0.88
43359,Belgium,2022,0.44,0.88
44655,Bulgaria,2007,0.22,0.44
44658,Bulgaria,2008,0.22,0.44
44662,Bulgaria,2009,0.22,0.44
44666,Bulgaria,2010,0.22,0.44
44670,Bulgaria,2011,0.22,0.44
44674,Bulgaria,2012,0.24,0.48
44678,Bulgaria,2013,0.23,0.46
44682,Bulgaria,2014,0.25,0.5
44686,Bulgaria,2015,0.2,0.4
44690,Bulgaria,2016,0.2,0.4
44694,Bulgaria,2017,0.19,0.38
44698,Bulgaria,2018,0.26,0.52
44702,Bulgaria,2019,0.26,0.52
44706,Bulgaria,2020,0.27,0.54
44710,Bulgaria,2021,0.27,0.54
44714,Bulgaria,2022,0.22,0.44
45555,Cyprus,2007,0.14,0.28
45558,Cyprus,2008,0.16,0.32
45562,Cyprus,2009,0.16,0.32
45566,Cyprus,2010,0.12,0.24
45570,Cyprus,2011,0.12,0.24
45574,Cyprus,2012,0.11,0.22
45578,Cyprus,2013,0.11,0.22
45582,Cyprus,2014,0.14,0.28
45586,Cyprus,2015,0.12,0.24
45590,Cyprus,2016,0.12,0.24
45594,Cyprus,2017,0.18,0.36
45598,Cyprus,2018,0.18,0.36
45602,Cyprus,2019,0.18,0.36
45606,Cyprus,2020,0.2,0.4
45610,Cyprus,2021,0.22,0.44
45614,Cyprus,2022,0.14,0.28
46452,Czech Republic,2007,0.14,0.28
46455,Czech Republic,2008,0.14,0.28
46459,Czech Republic,2009,0.17,0.34
46463,Czech Republic,2010,0.18,0.36
46467,Czech Republic,2011,0.21,0.42
46471,Czech Republic,2012,0.21,0.42
46475,Czech Republic,2013,0.2,0.4
46479,Czech Republic,2014,0.19,0.38
46483,Czech Republic,2015,0.2,0.4
46487,Czech Republic,2016,0.2,0.4
46491,Czech Republic,2017,0.2,0.4
46495,Czech Republic,2018,0.21,0.42
46499,Czech Republic,2019,0.21,0.42
46503,Czech Republic,2020,0.2,0.4
46507,Czech Republic,2021,0.2,0.4
46511,Czech Republic,2022,0.22,0.44
47752,Germany,2007,0.3,0.6
47755,Germany,2008,0.31,0.62
47759,Germany,2009,0.31,0.62
47763,Germany,2010,0.32,0.64
47767,Germany,2011,0.32,0.64
47771,Germany,2012,0.32,0.64
47775,Germany,2013,0.33,0.66
47779,Germany,2014,0.37,0.74
47783,Germany,2015,0.37,0.74
47787,Germany,2016,0.37,0.74
47791,Germany,2017,0.37,0.74
47795,Germany,2018,0.32,0.64
47799,Germany,2019,0.32,0.64
47803,Germany,2020,0.31,0.62
47807,Germany,2021,0.32,0.64
47811,Germany,2022,0.34,0.68
49108,Denmark,2007,0.37,0.74
49111,Denmark,2008,0.37,0.74
49115,Denmark,2009,0.37,0.74
49119,Denmark,2010,0.38,0.76
49123,Denmark,2011,0.38,0.76
49127,Denmark,2012,0.4,0.8
49131,Denmark,2013,0.4,0.8
49135,Denmark,2014,0.38,0.76
49139,Denmark,2015,0.38,0.76
49143,Denmark,2016,0.37,0.74
49147,Denmark,2017,0.37,0.74
49151,Denmark,2018,0.37,0.74
49155,Denmark,2019,0.37,0.74
49159,Denmark,2020,0.39,0.78
49163,Denmark,2021,0.4,0.8
49167,Denmark,2022,0.42,0.84
51045,Estonia,2007,0.19,0.38
51048,Estonia,2008,0.21,0.42
51052,Estonia,2009,0.21,0.42
51056,Estonia,2010,0.23,0.46
51060,Estonia,2011,0.24,0.48
51064,Estonia,2012,0.2,0.4
51068,Estonia,2013,0.22,0.44
51072,Estonia,2014,0.17,0.34
51076,Estonia,2015,0.2,0.4
51080,Estonia,2016,0.27,0.54
51084,Estonia,2017,0.27,0.54
51088,Estonia,2018,0.28,0.56
51092,Estonia,2019,0.28,0.56
51096,Estonia,2020,0.29,0.58
51100,Estonia,2021,0.26,0.52
51104,Estonia,2022,0.28,0.56
51946,Greece,2007,0.14,0.28
51949,Greece,2008,0.14,0.28
51953,Greece,2009,0.16,0.32
51957,Greece,2010,0.17,0.34
51961,Greece,2011,0.18,0.36
51965,Greece,2012,0.19,0.38
51969,Greece,2013,0.21,0.42
51973,Greece,2014,0.21,0.42
51977,Greece,2015,0.23,0.46
51981,Greece,2016,0.19,0.38
51985,Greece,2017,0.18,0.36
51989,Greece,2018,0.18,0.36
51993,Greece,2019,0.18,0.36
51997,Greece,2020,0.22,0.44
52001,Greece,2021,0.22,0.44
52005,Greece,2022,0.21,0.42
52852,Spain,2007,0.31,0.62
52855,Spain,2008,0.32,0.64
52859,Spain,2009,0.33,0.66
52863,Spain,2010,0.34,0.68
52867,Spain,2011,0.35,0.7
52871,Spain,2012,0.36,0.72
52875,Spain,2013,0.37,0.74
52879,Spain,2014,0.37,0.74
52883,Spain,2015,0.38,0.76
52887,Spain,2016,0.39,0.78
52891,Spain,2017,0.38,0.76
52895,Spain,2018,0.39,0.78
52899,Spain,2019,0.39,0.78
52903,Spain,2020,0.42,0.84
52907,Spain,2021,0.42,0.84
52911,Spain,2022,0.42,0.84
56920,Finland,2007,0.42,0.84
56923,Finland,2008,0.42,0.84
56927,Finland,2009,0.41,0.82
56931,Finland,2010,0.4,0.8
56935,Finland,2011,0.4,0.8
56939,Finland,2012,0.42,0.84
56943,Finland,2013,0.43,0.86
56947,Finland,2014,0.42,0.84
56951,Finland,2015,0.42,0.84
56955,Finland,2016,0.42,0.84
56959,Finland,2017,0.42,0.84
56963,Finland,2018,0.42,0.84
56967,Finland,2019,0.42,0.84
56971,Finland,2020,0.46,0.92
56975,Finland,2021,0.46,0.92
56979,Finland,2022,0.46,0.92
57826,France,2007,0.15,0.3
57829,France,2008,0.18,0.36
57833,France,2009,0.2,0.4
57837,France,2010,0.2,0.4
57841,France,2011,0.21,0.42
57845,France,2012,0.2,0.4
57849,France,2013,0.24,0.48
