,Country,Year,IndexValueViolence,IndexValueCare,IndexValueEcoSector,IndexValueEmployment,IndexValuePay,IndexValueDecisionMakers,IndexValuePension,IndexTotal
0,Austria,2013,0.8852800389431268,0.7340000000000001,0.7005640497019764,0.91,0.7695000000000001,0.58,0.591,0.7288555054112829
1,Austria,2014,0.8893636584904129,0.7509999999999999,0.6983891048948085,0.92,0.7953157894736842,0.64,0.5760000000000001,0.7436907506593557
2,Austria,2015,0.8919869107823782,0.7509999999999999,0.7046533717148167,0.92,0.7991578947368422,0.6,0.586,0.7404434429144424
3,Austria,2016,0.8042567001108797,0.7490000000000001,0.7024064316188166,0.93,0.8078421052631579,0.62,0.595,0.7362514335340609
4,Austria,2017,0.7652865294642615,0.795,0.6920969357085076,0.92,0.8125789473684211,0.62,0.595,0.7352197545430756
5,Austria,2018,0.7497363225789004,0.7809999999999999,0.6893723963814548,0.92,0.8158421052631578,0.72,0.612,0.7500154174286082
6,Austria,2019,0.7675852556994888,0.753,0.6834616127199663,0.91,0.8197894736842106,0.76,0.65,0.7593531035291259
7,Austria,2020,0.776563809935906,0.812,0.690568204362076,0.91,0.8256315789473685,0.8,0.638,0.7743797996520216
8,Belgium,2013,0.0,0.836,0.6985641337023921,0.91,0.9138421052631578,0.8,0.657,0.7964589784697156
9,Belgium,2014,0.0,0.9,0.7114641467824515,0.92,0.9230526315789472,0.8,0.69,0.8182603043883774
10,Belgium,2015,0.0,0.8740000000000001,0.6651520444356707,0.92,0.925842105263158,0.84,0.642,0.8024695686273726
11,Belgium,2016,0.0,0.8909999999999999,0.6261894570975332,0.92,0.929684210526316,0.82,0.7490000000000001,0.8150177514620498
12,Belgium,2017,0.0,0.882,0.6432330885496285,0.91,0.9334736842105265,0.84,0.773,0.8239607715020051
13,Belgium,2018,0.0,0.928,0.6512034911743264,0.93,0.9361578947368422,0.8,0.78,0.8305776167567978
14,Belgium,2019,0.0,0.862,0.6619811174421669,0.93,0.9383684210526316,0.8,0.664,0.8012066483988919
15,Belgium,2020,0.0,0.888,0.66509323038565,0.93,0.9406315789473684,0.84,0.644,0.8085878135305167
