DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2009,56.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2010,54.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2011,55.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2012,55.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2013,55.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2014,55.6,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2015,54.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2016,54.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2017,53.9,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2018,54.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2019,52.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2020,52.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,AT,2021,51.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2009,30.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2010,29.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2011,29.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2012,28.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2013,28.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2014,28.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2015,27.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2016,26.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2017,25.5,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2018,27.8,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2019,29.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2020,26.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BE,2021,28.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2009,22.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2010,23.9,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2011,22.4,b
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2012,23.0,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2013,22.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2014,20.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2015,19.1,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2016,17.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2017,19.4,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2018,17.2,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2019,17.7,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2020,16.3,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,BG,2021,15.5,
ESTAT:LFSI_EMP_A(1.0),16/11/22 23:00:00,A,ACT,F,Y15-24,PC_POP,CH,2010,67.4,b
