DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2010,18.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2014,15.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2015,13.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2016,14.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2017,10.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2018,7.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2019,8.0,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,AT,2020,6.1,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2009,-10.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2010,-13.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2011,-10.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2012,-7.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2013,-4.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2014,-1.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2015,-1.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2016,-2.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2017,-2.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2018,-3.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2019,-3.3,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BE,2020,-3.5,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2009,18.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2010,15.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2011,16.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2012,21.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2013,17.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2014,16.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2015,17.7,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2016,15.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2017,14.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2018,12.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2019,13.9,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,BG,2020,12.9,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2009,27.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2010,15.5,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2011,16.6,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2012,17.4,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2013,26.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2014,22.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2015,35.6,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2016,29.3,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2017,34.3,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2018,42.2,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2019,43.7,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CY,2020,39.1,u
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2009,22.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2010,22.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2011,22.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2012,21.2,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2013,21.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2014,16.9,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2015,16.3,d
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2016,14.5,d
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2017,16.4,d
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2018,14.6,d
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2019,16.5,d
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,CZ,2020,14.1,d
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2009,10.5,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2010,12.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2011,9.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2012,7.0,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2013,4.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2014,0.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2015,1.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2016,2.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2017,6.4,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2018,7.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2019,9.3,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DE,2020,7.7,p
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DK,2009,16.1,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DK,2010,18.6,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DK,2011,14.3,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DK,2012,12.8,
ESTAT:EARN_GR_GPGR2(1.0),25/02/22 23:00:00,A,PC,B,DK,2013,14.3,
